time;sensor_id5_AccX;sensor_id1_AccX;sensor_id2_AccX;machine_nameKuka Robot_voltage;sensor_id4_AccX;sensor_id3_AccX;sensor_id5_AccY;sensor_id1_AccY;sensor_id2_AccY;sensor_id4_AccY;sensor_id3_AccY;sensor_id5_AccZ;sensor_id1_AccZ;sensor_id4_AccZ;sensor_id2_AccZ;sensor_id3_AccZ;machine_nameKuka Robot_current;machine_nameKuka Robot_power;sensor_id4_AngX;sensor_id2_AngX;sensor_id1_AngX;sensor_id5_AngX;sensor_id3_AngX;sensor_id2_AngY;sensor_id4_AngY;sensor_id1_AngY;sensor_id5_AngY;sensor_id4_AngZ;sensor_id2_AngZ;sensor_id3_AngY;sensor_id1_AngZ;sensor_id5_AngZ;sensor_id3_AngZ;machine_nameKuka Robot_apparent_power;sensor_id1_GyroX;sensor_id2_GyroX;sensor_id4_GyroX;sensor_id3_GyroX;sensor_id5_GyroX;sensor_id1_GyroY;sensor_id2_GyroY;sensor_id4_GyroY;sensor_id3_GyroY;sensor_id5_GyroY;sensor_id1_GyroZ;sensor_id2_GyroZ;sensor_id4_GyroZ;sensor_id3_GyroZ;sensor_id5_GyroZ;machine_nameKuka Robot_power_factor;machine_nameKuka Robot_reactive_power;sensor_id5_Temperature;machine_nameKuka Robot_phase_angle;machine_nameKuka Robot_export_active_energy;machine_nameKuka Robot_import_reactive_energy;machine_nameKuka Robot_export_reactive_energy;sensor_id1_Temperature;machine_nameKuka Robot_frequency;machine_nameKuka Robot_import_active_energy;sensor_id2_Temperature;sensor_id4_Temperature;sensor_id3_Temperature;machine_nameAbb Robot_voltage;machine_nameAbb Robot_current;machine_nameAbb Robot_power;machine_nameAbb Robot_apparent_power;machine_nameAbb Robot_reactive_power;machine_nameAbb Robot_power_factor;machine_nameAbb Robot_frequency;machine_nameAbb Robot_phase_angle;machine_nameAbb Robot_import_active_energy;machine_nameAbb Robot_export_active_energy;machine_nameAbb Robot_export_reactive_energy;machine_nameAbb Robot_import_reactive_energy
2022-08-11T14:01:34.644297+00:00;0.8;306.41;4.78;227.594727;1.2;313.14;306.56;311.65;0.35;307.9;313.25;306.25;306.71;7.75;8.22;303.6;0.997342;126.313454;323.78;7.96;195.61;223.78;182.04;329.96;352.95;45.18;355.58;213.68;75.88;2.72;37.56;341.66;182.99;165.136307;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.764904;-106.361847;28.44;319.895508;0.0;0.0;1383.485962;28.51;50.0;1618.994019;28.37;28.61;28.81;228.995529;0.399095;81.33844;88.975929;-36.06295;0.914162;50.048878;336.085297;1070.019043;0.0;485.651001;0.0
2022-08-11T14:01:34.744297+00:00;0.79;306.44;4.77;227.594727;1.18;313.14;306.56;311.68;0.34;307.92;313.26;306.25;306.71;7.75;8.24;303.58;0.997342;126.313454;323.78;7.96;195.61;223.78;182.04;329.96;352.95;45.18;355.58;213.68;75.88;2.72;37.56;341.66;182.99;165.136307;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.764904;-106.361847;28.48;319.895508;0.0;0.0;1383.485962;28.51;50.0;1618.994019;28.37;28.65;28.88;228.995529;0.399095;81.33844;88.975929;-36.06295;0.914162;50.048878;336.085297;1070.019043;0.0;485.651001;0.0
2022-08-11T14:01:34.844297+00:00;0.8;306.42;4.77;227.594727;1.18;313.13;306.55;311.69;0.33;307.92;313.24;306.25;306.72;7.75;8.23;303.61;0.997342;126.313454;323.78;7.96;195.61;223.78;182.04;329.96;352.95;45.18;355.58;213.68;75.88;2.72;37.56;341.66;182.99;165.136307;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.764904;-106.361847;28.48;319.895508;0.0;0.0;1383.485962;28.51;50.0;1618.994019;28.37;28.61;28.85;228.995529;0.399095;81.33844;88.975929;-36.06295;0.914162;50.048878;336.085297;1070.019043;0.0;485.651001;0.0
2022-08-11T14:01:34.944297+00:00;0.77;306.41;4.79;227.594727;1.2;313.15;306.58;311.68;0.32;307.91;313.23;306.24;306.72;7.76;8.23;303.6;0.997342;126.313454;323.78;7.96;195.6;223.78;182.04;329.96;352.95;45.18;355.58;213.68;75.88;2.72;37.56;341.66;182.99;165.136307;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.764904;-106.361847;28.51;319.895508;0.0;0.0;1383.485962;28.54;50.0;1618.994019;28.34;28.61;28.81;228.995529;0.399095;81.33844;88.975929;-36.06295;0.914162;50.048878;336.085297;1070.019043;0.0;485.651001;0.0
2022-08-11T14:01:35.044297+00:00;0.79;306.41;4.79;227.594727;1.18;313.14;306.56;311.7;0.32;307.9;313.23;306.24;306.72;7.78;8.21;303.61;0.997342;126.313454;323.78;7.96;195.6;223.78;182.04;329.96;352.95;45.18;355.58;213.68;75.88;2.72;37.56;341.66;182.99;165.136307;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.764904;-106.361847;28.44;319.895508;0.0;0.0;1383.485962;28.51;50.0;1618.994019;28.37;28.61;28.85;228.995529;0.399095;81.33844;88.975929;-36.06295;0.914162;50.0;336.085297;1070.019043;0.0;485.651001;0.0
2022-08-11T14:01:35.144297+00:00;0.78;306.4;4.76;227.594727;1.18;313.15;306.55;311.69;0.31;307.9;313.25;306.23;306.7;7.78;8.24;303.57;0.997342;126.313454;323.78;7.96;195.6;223.78;182.04;329.96;352.95;45.18;355.58;213.68;75.88;2.72;37.56;341.66;182.99;165.136307;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.764904;-106.361847;28.48;319.895508;0.0;0.0;1383.485962;28.51;50.0;1618.994019;28.41;28.61;28.85;228.995529;0.399095;81.33844;88.975929;-36.06295;0.914162;50.0;336.085297;1070.019043;0.0;485.651001;0.0
2022-08-11T14:01:35.244297+00:00;0.81;306.39;4.79;227.518356;1.19;313.12;306.55;311.66;0.32;307.91;313.25;306.25;306.72;7.77;8.21;303.59;1.018041;127.265381;323.78;7.96;195.6;223.78;182.04;329.96;352.95;45.18;355.58;213.68;75.88;2.72;37.56;341.66;182.99;165.772736;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.76771;-106.217049;28.48;320.145752;0.0;0.0;1383.485962;28.48;50.0;1618.994019;28.37;28.61;28.81;228.995529;0.399095;81.33844;88.975929;-36.06295;0.914162;50.0;336.085297;1070.019043;0.0;485.651001;0.0
2022-08-11T14:01:35.344297+00:00;0.75;306.38;4.78;227.518356;1.19;313.12;306.56;311.69;0.33;307.95;313.23;306.26;306.73;7.76;8.24;303.6;1.018041;127.265381;323.78;7.96;195.6;223.78;182.04;329.96;352.95;45.18;355.58;213.68;75.88;2.72;37.56;341.66;182.99;165.772736;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.76771;-106.217049;28.51;320.145752;0.0;0.0;1383.485962;28.48;50.0;1618.994019;28.41;28.61;28.81;228.995529;0.399095;81.33844;88.975929;-36.06295;0.914162;50.0;336.085297;1070.019043;0.0;485.651001;0.0
2022-08-11T14:01:35.444297+00:00;0.78;306.4;4.77;227.518356;1.17;313.13;306.55;311.69;0.33;307.92;313.24;306.25;306.7;7.76;8.22;303.61;1.018041;127.265381;323.78;7.96;195.6;223.78;182.04;329.96;352.95;45.18;355.58;213.68;75.88;2.72;37.56;341.66;182.99;165.772736;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.76771;-106.217049;28.48;320.145752;0.0;0.0;1383.485962;28.48;50.0;1618.994019;28.37;28.61;28.81;228.995529;0.399095;81.33844;88.975929;-36.06295;0.914162;50.0;336.085297;1070.019043;0.0;485.651001;0.0
2022-08-11T14:01:35.544297+00:00;0.81;306.45;4.77;227.518356;1.17;313.12;306.53;311.68;0.32;307.89;313.31;306.24;306.72;7.74;8.22;303.61;1.018041;127.265381;323.78;7.96;195.6;223.78;182.04;329.96;352.95;45.19;355.58;213.68;75.88;2.72;37.56;341.66;182.99;165.772736;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.76771;-106.217049;28.48;320.145752;0.0;0.0;1383.485962;28.51;50.0;1618.994019;28.41;28.61;28.81;228.996445;0.398537;81.283127;88.96698;-36.165421;0.913633;50.0;336.010529;1070.019043;0.0;485.651001;0.0
2022-08-11T14:01:35.644297+00:00;0.78;306.43;4.79;227.518356;1.21;313.11;306.54;311.7;0.33;307.92;313.26;306.26;306.72;7.78;8.23;303.61;1.018041;127.265381;323.78;7.96;195.6;223.78;182.04;329.96;352.96;45.19;355.58;213.68;75.88;2.72;37.56;341.66;182.99;165.772736;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.76771;-106.217049;28.48;320.145752;0.0;0.0;1383.485962;28.48;50.0;1618.994019;28.41;28.65;28.85;228.996445;0.398537;81.283127;88.96698;-36.165421;0.913633;50.0;336.010529;1070.019043;0.0;485.651001;0.0
2022-08-11T14:01:35.744297+00:00;0.78;306.41;4.79;227.518356;1.19;313.14;306.58;311.68;0.33;307.89;313.22;306.25;306.72;7.78;8.24;303.6;1.018041;127.265381;323.78;7.96;195.6;223.78;182.04;329.96;352.96;45.19;355.58;213.68;75.88;2.72;37.56;341.66;182.99;165.772736;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.76771;-106.217049;28.51;320.145752;0.0;0.0;1383.485962;28.51;50.0;1618.994019;28.41;28.61;28.85;228.996445;0.398537;81.283127;88.96698;-36.165421;0.913633;50.0;336.010529;1070.019043;0.0;485.651001;0.0
